source,target,type,id,label,timestamp,weight
1,2,Undirected,,,,
1,3,Undirected,,,,
1,6,Undirected,,,,
1,9,Undirected,,,,
1,10,Undirected,,,,
1,12,Undirected,,,,
1,17,Undirected,,,,
1,19,Undirected,,,,
1,20,Undirected,,,,
1,32,Undirected,,,,
1,35,Undirected,,,,
1,43,Undirected,,,,
1,49,Undirected,,,,
1,63,Undirected,,,,
1,64,Undirected,,,,
1,65,Undirected,,,,
1,66,Undirected,,,,
1,70,Undirected,,,,
1,71,Undirected,,,,
1,72,Undirected,,,,
1,73,Undirected,,,,
1,74,Undirected,,,,
1,75,Undirected,,,,
1,83,Undirected,,,,
1,86,Undirected,,,,
1,90,Undirected,,,,
1,91,Undirected,,,,
1,92,Undirected,,,,
1,97,Undirected,,,,
1,99,Undirected,,,,
1,101,Undirected,,,,
1,118,Undirected,,,,
1,119,Undirected,,,,
1,122,Undirected,,,,
1,125,Undirected,,,,
1,128,Undirected,,,,
1,129,Undirected,,,,
1,137,Undirected,,,,
1,138,Undirected,,,,
1,139,Undirected,,,,
1,141,Undirected,,,,
1,152,Undirected,,,,
1,153,Undirected,,,,
1,166,Undirected,,,,
1,161,Undirected,,,,
1,160,Undirected,,,,
1,174,Undirected,,,,
1,175,Undirected,,,,
1,177,Undirected,,,,
1,178,Undirected,,,,
1,179,Undirected,,,,
1,180,Undirected,,,,
1,181,Undirected,,,,
1,182,Undirected,,,,
1,183,Undirected,,,,
1,184,Undirected,,,,
1,185,Undirected,,,,
1,186,Undirected,,,,
1,187,Undirected,,,,
1,188,Undirected,,,,
1,189,Undirected,,,,
1,17,Undirected,,,,
2,1,Undirected,,,,
2,3,Undirected,,,,
2,4,Undirected,,,,
2,9,Undirected,,,,
2,16,Undirected,,,,
2,18,Undirected,,,,
2,19,Undirected,,,,
2,20,Undirected,,,,
2,25,Undirected,,,,
2,29,Undirected,,,,
2,30,Undirected,,,,
2,31,Undirected,,,,
2,35,Undirected,,,,
2,37,Undirected,,,,
2,38,Undirected,,,,
2,40,Undirected,,,,
2,41,Undirected,,,,
2,42,Undirected,,,,
2,43,Undirected,,,,
2,44,Undirected,,,,
2,45,Undirected,,,,
2,46,Undirected,,,,
2,47,Undirected,,,,
2,48,Undirected,,,,
2,49,Undirected,,,,
2,50,Undirected,,,,
2,51,Undirected,,,,
2,52,Undirected,,,,
2,53,Undirected,,,,
2,54,Undirected,,,,
2,61,Undirected,,,,
2,62,Undirected,,,,
2,63,Undirected,,,,
2,64,Undirected,,,,
2,65,Undirected,,,,
2,66,Undirected,,,,
2,68,Undirected,,,,
2,70,Undirected,,,,
2,71,Undirected,,,,
2,72,Undirected,,,,
2,73,Undirected,,,,
2,74,Undirected,,,,
2,75,Undirected,,,,
2,83,Undirected,,,,
2,85,Undirected,,,,
2,90,Undirected,,,,
2,92,Undirected,,,,
2,93,Undirected,,,,
2,100,Undirected,,,,
2,101,Undirected,,,,
2,102,Undirected,,,,
2,132,Undirected,,,,
2,148,Undirected,,,,
2,147,Undirected,,,,
2,151,Undirected,,,,
2,159,Undirected,,,,
2,161,Undirected,,,,
2,162,Undirected,,,,
2,163,Undirected,,,,
2,164,Undirected,,,,
3,1,Undirected,,,,
3,2,Undirected,,,,
3,4,Undirected,,,,
3,5,Undirected,,,,
3,6,Undirected,,,,
3,9,Undirected,,,,
3,11,Undirected,,,,
3,13,Undirected,,,,
3,14,Undirected,,,,
3,15,Undirected,,,,
3,16,Undirected,,,,
3,17,Undirected,,,,
3,25,Undirected,,,,
