Nodes,Id,Label,City,Latitude,Longitude,modularity_class,Component ID
Margaret Cavendish,1,Margaret Cavendish,St. John's Abbey,51.885544,-0.901575,35,0
Sir Charles Cavendish,2,Sir Charles Cavendish,Welbeck Abbey,53.26215,-1.156029,79,0
William Cavendish,3,William Cavendish (husband),Welbeck Abbey,53.26215,-1.156029,1,2
Henry Cavendish,4,Lord Henry Cavendish,Welbeck Abbey,53.26215,-1.156029,3,4
John Holles,5,John Holles,Welbeck Abbey,53.26215,-1.156029,4,5
Henrietta Maria,6,Henrietta Maria,Oxford,51.751944,-1.257778,6,7
Samuel Pepys,7,Samuel Pepys,London (Royal Society),51.505981,-0.132461,7,8
Peter Paul Rubens,8,Peter Paul Rubens,Antwerp,51.216667,4.4,8,9
Sir Theodore Mayerne,9,Sir Theodore Mayerne,Chelsea,51.4875,-0.1684,9,10
John Lucas ,10,Lord John Lucas (brother),St. John's Abbey,51.885544,-0.901575,10,11
Sir Henry Wotton,11,Sir Henry Wotton,London,51.507222,-0.1275,12,13
Charles Lucas,12,Sir Charles Lucas (brother),St. John's Abbey,51.885544,-0.901575,13,14
Henry More,13,Henry More,"Christ Church, Oxford",51.750199,-1.255853,100,0
John Rushworth,14,John Rushworth,London,51.507222,-0.1275,14,15
Richard Browne,15,Richard Browne,Paris,48.8567,2.3508,17,18
Thomas Hobbes,16,Thomas Hobbes,Welbeck Abbey,53.26215,-1.156029,100,0
Dr. John Cosin,17,Dr. John Cosin,Paris,48.8567,2.3508,21,22
Robert Boyle,18,Robert Boyle,London (Royal Society),51.505981,-0.132461,22,23
Robert Hooke,19,Robert Hooke,London (Royal Society),51.505981,-0.132461,35,0
Walter Charleton,20,Walter Charleton,London (Royal Society),51.505981,-0.132461,35,0
Charles Lamb,21,Charles Lamb,London,51.507222,-0.1275,23,24
Katherine Philips,22,Katherine Philips,London,51.507222,-0.1275,25,26
Robert Harley,23,Robert Harley,London,51.5,-0.083333,26,27
Joseph Glanvill,24,Joseph Glanvill,London (Royal Society),51.505981,-0.132461,28,29
Charles II,25,King Charles II,The Hague,52.083333,4.316667,29,30
Thomas Thynne,26,Thomas Thynne,London,51.5,-0.083333,30,31
James II,27,King James II,Bruges,51.216667,3.233333,31,32
James I,28,King James I,Hertfordshire,51.9,-0.2,32,33
Charles I,29,King Charles I,Oxford,51.751944,-1.257778,33,34
Elizabeth Browne,30,Elizabeth Browne,Paris,48.8567,2.3508,34,35
Elizabeth (Chaplian) Topp,31,Elizabeth (Chaplian) Topp,St. John's Abbey,51.885544,-0.901575,35,0
Bishop John Bramhall,32,Bishop John Bramhall,Long Marston,53.95368,-1.2366,36,36
William Carnaby,33,William Carnaby,Long Marston,53.95368,-1.2366,37,37
Lord Widdrington,34,Lord Widdrington,Long Marston,53.95368,-1.2366,38,38
Endymion Porter,35,Endymion Porter,Paris,48.8567,2.3508,39,39
William Davenant,36,William Davenant,London,51.507222,-0.1275,40,40
John Birkenhead,37,John Birkenhead,Paris,48.8567,2.3508,41,41
Edmund Waller,38,Edmund Waller,Paris,48.8567,2.3508,78,0
William Petty,39,William Petty,London,51.507222,-0.1275,42,42
Kenelm Digby,40,Kenelm Digby,Paris,48.8567,2.3508,43,43
Rene Descartes,41,Rene Descartes,Paris,48.8567,2.3508,100,0
Pierre Gassendi,42,Pierre Gassendi,Paris,48.8567,2.3508,44,44
Giles Roberval,43,Giles Roberval,Paris,48.8567,2.3508,45,45
Claude Mydorge,44,Claude Mydorge,Paris,48.8567,2.3508,46,46
Martin Mersenne,45,Martin Mersenne,Paris,48.8567,2.3508,47,47
Torricelli,46,Torricelli,Florence,43.783333,11.25,48,48
Constantijn Huygens,47,Constantijn Huygens,The Hague,52.083333,4.316667,78,0
Samuel de Sorbière,48,Samuel de Sorbière,Amsterdam,52.366667,4.9,49,49
Sir William Boswell,49,Sir William Boswell,Amsterdam,52.366667,4.9,50,50
John Pell,50,John Pell,Amsterdam,52.366667,4.9,51,51
Samuel Hartlib,51,Samuel Hartlib,London,51.507222,-0.1275,52,52
Schyrlaeus de Rheita,52,Schyrlaeus de Rheita,Trier,49.75,6.633333,54,54
Pierre de Fermat,53,Pierre de Fermat,Paris,48.8567,2.3508,55,55
Willem Blaeu,54,Willem Blaeu,Amsterdam,52.366667,4.9,56,56
"Lady Utricia Swann, nee Ogle",55,"Lady Utricia Swann, nee Ogle",Utrecht,52.083333,5.116667,57,57
William Swann,56,William Swann,Utrecht,52.083333,5.116667,58,58
Anna Maria van Schurmann,57,Anna Maria van Schurmann,Antwerp,51.216667,4.4,59,59
"Mary, Princess Royal",58,"Mary, Princess Royal",The Hague,52.083333,4.316667,60,60
William II of Orange,59,William II of Orange,The Hague,52.083333,4.316667,61,61
"Beatrix, Duchess of Lorraine",60,"Beatrix, Duchess of Lorraine",Brussels,50.85,4.35,62,62
Gaspard Duarte,61,Gaspard Duarte,Antwerp,51.216667,4.4,63,63
Jacques Duarte,62,Jacques Duarte,Antwerp,51.216667,4.4,64,64
